url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,has_garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,municipality_nl,municipality_fr,arrondissement_nl,arrondissement_fr,province_nl,province_fr,median_income,region,address,province,apt_avg_m2_province,house_avg_m2_province,apt_avg_m2_region,house_avg_m2_region,province_benchmark_m2,region_benchmark_m2,national_benchmark_m2
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu68366,rbu68366,229500.0,2.0,110.0,0,-1.0,0,0,0,-1,-1,-1.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,799.0,-1.0,1,0,-1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,713.0,apartment,2600,berchem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Frans Beckersstraat 58 2600 Berchem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68364,rbu68364,335000.0,3.0,115.0,4,2.0,0,1,0,0,3,2025.0,-1,-1,-1.0,2.0,-1,8.0,-1.0,1,1,-1.0,-1.0,1,0,1,0,47.0,-1.0,1,0.0,1.0,0,2.0,2.0,2.0,-1.0,apartment,2610,wilrijk,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Jules Moretuslei 141-143 2610 Wilrijk,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68445,rbu68445,199000.0,2.0,80.0,2,2.0,0,1,0,-1,-1,1970.0,-1,-1,-1.0,1.0,3,7.0,-1.0,-1,1,164.0,-1.0,0,0,-1,0,30.0,-1.0,-1,1.0,-1.0,-1,2.0,3.0,1.0,855.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Schotensesteenweg 199 8 2100 Deurne,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68137,rbu68137,299000.0,2.0,79.0,3,2.0,0,1,0,-1,-1,2020.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,73.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,1.0,-1.0,1.0,-1.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Dascottelei 81 101 2100 Deurne,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/duplex/for-sale/2610/wilrijk/rbu68362,rbu68362,385000.0,4.0,130.0,4,2.0,0,1,1,0,3,2025.0,-1,1,-1.0,1.0,-1,-1.0,-1.0,1,1,-1.0,-1.0,1,0,1,0,43.0,-1.0,1,0.0,1.0,0,0.0,2.0,-1.0,-1.0,duplex,2610,wilrijk,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Jules Moretuslei 141-143 2610 Wilrijk,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rwc41189,rwc41189,410000.0,2.0,101.0,3,-1.0,-1,-1,-1,-1,-1,2012.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,-1,95.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,apartment,2018,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Korte Achteromstraat 2 2018 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68444,rbu68444,215000.0,3.0,100.0,0,2.0,0,1,0,-1,-1,1963.0,-1,1,-1.0,1.0,2,3.0,-1.0,-1,1,188.0,-1.0,0,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,3.0,5.0,1.0,-1.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Ruggeveldlaan 609 301 2100 Deurne,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu70146,rbu70146,179000.0,2.0,89.0,2,2.0,0,1,0,-1,-1,1967.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,178.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,894.0,apartment,2170,merksem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Lambrechtshoekenlaan 34 2 2170 Merksem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu70142,rbu70142,239000.0,2.0,82.0,2,2.0,0,1,0,-1,-1,1962.0,-1,1,-1.0,1.0,2,-1.0,-1.0,-1,1,187.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,1.0,2.0,1.0,743.0,apartment,2050,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu70161,rbu70161,335000.0,2.0,100.0,-1,2.0,-1,1,0,-1,-1,-1.0,-1,-1,12.0,1.0,-1,11.0,-1.0,-1,1,166.0,-1.0,-1,-1,-1,0,-1.0,-1.0,1,1.0,1.0,-1,7.0,10.0,-1.0,-1.0,apartment,2018,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Prins Albertlei 31 2600 Berchem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rwc41082,rwc41082,389500.0,2.0,95.0,3,-1.0,-1,1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,20.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,1.0,23.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Kempenstraat 88 2000 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/penthouse/for-sale/2000/antwerp/rwc41084,rwc41084,1950000.0,3.0,185.0,3,-1.0,-1,1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,75.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,23.0,23.0,-1.0,-1.0,penthouse,2000,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Kempenstraat 88 2000 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68138,rbu68138,239000.0,2.0,90.0,3,-1.0,0,1,0,-1,-1,1968.0,-1,1,-1.0,1.0,3,4.0,-1.0,-1,1,230.0,-1.0,0,0,-1,0,25.0,-1.0,-1,1.0,-1.0,-1,4.0,4.0,1.0,934.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Bisschoppenhoflaan 360 8 2100 Deurne,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68363,rbu68363,249000.0,1.0,62.0,4,2.0,0,1,0,0,3,2025.0,-1,-1,-1.0,1.0,-1,8.0,-1.0,1,1,-1.0,-1.0,1,0,1,0,27.0,-1.0,1,0.0,-1.0,0,1.0,2.0,1.0,-1.0,apartment,2610,wilrijk,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Jules Moretuslei 141-143 2610 Wilrijk,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
